Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",['Steven Cooper'],0,2,2.64,22
Statistical inference for data science,['Brian Caffo'],2015,1,3.11,28
Markov Models: Master Data Science and Unsupervised Machine Learning in Python,['LazyProgrammer'],0,1,3.78,23
"Data Science From Scratch: First Principles with Python, Second Edition",['Joel Grus'],0,2,3.71,7
Data Science from Scratch with Python: A Step By Step Guide for Beginner's and Faster Way To Learn Python In 7 Days & NLP using Advanced,['Richard Wilson'],0,2,4.50,2
Machine Learning: The Art and Science of Algorithms That Make Sense of Data,['Peter Flach'],2012,8,3.98,127
The Field Guide to Data Science,['Booz Allen Hamilton'],2013,2,3.61,28
Python Data Science Cookbook,['Gopi Subramanian'],0,5,3.50,12
Principles of Data Science: Learn the techniques and math you need to start making sense of your data,['Sinan Ozdemir'],0,3,4.20,20
Introduction to Data Science: Essential Concepts,['Peters Morgan'],0,2,4.20,10
"Big Data Demystified: How to Use Big Data, Data Science and AI to Make Better Business Decisions and Gain Competitive Advantage",['David Stephenson'],2018,2,3.64,25
Python for Data Science for Dummies,['Zanab Hussain'],2014,3,4.38,16
"Data Science for Beginners: This Book Includes - Machine Learning for Beginners + Python Machine Learning for Beginners - Big Data Analytics, Data Science, Data Analysis and Programming Code",['Leonard Deep'],0,2,3.25,4
Introducing Data Science,"['Davy Cielen', 'Arno D.B. Meysman', 'Mohamed  Ali']",0,4,3.31,35
Python for Beginners: The Ultimate Crash Course to Learn Python in 7 days With Step-by-Step Guidance and Hands-On Exercises (Data Science Book 1),['Andrew Park'],0,2,5.00,1
Data science interviews exposed,"['Jane You', 'Iris Wang', 'Yanping Huang']",2015,1,3.37,19
Build a Career in Data Science,"['Emily  Robinson', 'Jacqueline Nolis']",0,1,4.36,14
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,['Thomas W. Miller Jr.'],2015,3,3.79,14
Probability & Statistics for Data Science,['Ankit  Rathi'],0,2,4.15,13
Data Science from Scratch: Practical Guide with Python,['Alain Kaufmann'],0,3,3.91,11
"Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning. A Complete Overview for Beginners to Master The Art of Data Science From Scratch Using Python.",['Andrew Park'],0,1,4.50,2
"Swift: Programming, Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,2.58,12
"Data Analytics: Master The Techniques For Data Science, Big Data And Data Analytics",['Robert Keane'],0,2,2.70,20
"Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud","['Paul Deitel', 'Harvey Deitel']",0,1,3.80,5
Deep Learning: Deep Learning for Beginners. Practical Guide with Python and Tensorflow (Data Sciences Book 2),['François Duval'],0,1,3.86,7
Deep Learning in Python Prerequisites: Master Data Science and Machine Learning with Linear Regression and Logistic Regression in Python,['Lazy Programmer'],0,2,2.85,20
Process Mining: Data Science in Action,['Wil van der Aalst'],0,3,4.20,15
Report Writing for Data Science in R,['Roger D. Peng'],2015,2,3.70,30
"Neural Networks: Artificial Neural Networks. Concepts, Tools and Techniques explained for Absolute Beginners",['François Duval'],0,1,3.57,14
Deep Learning: Deep Learning for Beginners: Concepts and Algorithms (Data Sciences Book 1),['François Duval'],0,1,4.09,11
Data Science From Scratch With Python: Step By Step Guide,['Peters Morgan'],0,3,4.33,15
"Ruby: Programming, Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms (Code like a PRO in 24 ... design, tech, perl, ajax, swift, python)","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,3.10,10
"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis",['Lazy Programmer'],0,1,3.55,11
Going Pro in Data Science: What It Takes to Succeed as a Professional Data Scientist,['Jerry Overton'],0,1,3.11,37
